Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
207b,1fb9,2613,-12.6,-2.9,-84.2
207b,1fb9,2613,-12.6,-2.9,-84.2
1fcb,2050,2a65,-3.8,-10.45,-139.5
1fcb,2050,2a65,-3.8,-10.45,-139.5
209c,1fb4,2c01,-14.25,-2.65,-160.1
2057,1fca,29bf,-10.8,-3.75,-131.2
1f8f,20ab,27c9,-0.8,-15,-106.1
201d,20bd,299d,-7.9,-15.9,-129.5
201d,20bd,299d,-7.9,-15.9,-129.5
1fcd,1fe9,21c5,-3.9,-5.3,-29.1
1fcd,1fe9,21c5,-3.9,-5.3,-29.1
1f16,1f45,223e,5.25,2.9,-35.15
1f16,1f45,223e,5.25,2.9,-35.15
1ed4,1f8d,25aa,8.55,-0.7,-78.95
1fef,1ef3,2c1f,-5.6,7,-161.6
202e,1ec7,2903,-8.75,9.2,-121.8
1fab,1f46,224e,-2.2,2.85,-35.95
1f69,1fd3,219b,1.1,-4.2,-27
1f6e,1f99,238d,0.85,-1.3,-51.9
1fa0,202b,2957,-1.65,-8.6,-126
2099,1f21,2b24,-14.1,4.7,-149.05
2039,1ef8,213f,-9.3,6.75,-22.4
1f85,1f59,2139,-0.3,1.9,-22.1
1fb9,1f53,2240,-2.9,2.2,-35.25
1fd8,1fb9,21dd,-4.45,-2.9,-30.3
1f6b,2007,2307,1,-6.8,-45.2
1fb7,1f94,2.30E+04,-2.8,-1.05,-56.2
1f56,1f03,2034,2.05,6.2,-9.05
1f56,1f03,2034,2.05,6.2,-9.05
1f36,1f35,20b6,3.65,3.7,-15.55
1f3e,1efc,20ff,3.25,6.55,-19.2
1f5c,1f70,239b,1.75,0.75,-52.6
201d,1f30,2d28,-7.9,3.95,-174.85
201d,1f30,2d28,-7.9,3.95,-174.85
2062,1f0b,2dc7,-11.35,5.8,-182.8
2064,2046,231b,-11.45,-9.95,-46.2
200a,1fe2,2165,-6.95,-4.95,-24.3
200e,1f8d,21fc,-7.15,-0.7,-31.85
2004,1fdc,2141,-6.65,-4.65,-22.5
