
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2
740,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
749,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
754,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
757,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
762,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
765,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
774,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
777,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
783,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
786,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
794,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
797,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
865,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
870,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
873,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
875,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
880,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
883,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
886,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
895,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
899,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
903,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
912,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
915,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
925,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
928,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
932,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
940,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
943,20.694559,2.706513,0.044173,-0.353386,0.934434,21.501966,46.847610,0.678765,-0.366533,0.636342
953,20.694559,2.706513,0.044173,-0.353386,0.934434,17.950315,62.354027,0.842713,-0.308192,0.441421
956,20.694559,2.706513,0.044173,-0.353386,0.934434,17.950315,62.354027,0.842713,-0.308192,0.441421
958,20.694559,2.706513,0.044173,-0.353386,0.934434,17.950315,62.354027,0.842713,-0.308192,0.441421
963,20.694559,2.706513,0.044173,-0.353386,0.934434,17.950315,62.354027,0.842713,-0.308192,0.441421
970,167.745605,-87.606087,-0.976362,-0.212253,-0.040818,17.950315,62.354027,0.842713,-0.308192,0.441421
973,167.745605,-87.606087,-0.976362,-0.212253,-0.040818,17.950315,62.354027,0.842713,-0.308192,0.441421
980,15.241246,-87.497406,-0.963907,-0.262884,0.042129,17.950315,62.354027,0.842713,-0.308192,0.441421
983,15.241246,-87.497406,-0.963907,-0.262884,0.042129,17.950315,62.354027,0.842713,-0.308192,0.441421
988,17.509520,-82.530060,-0.945573,-0.300864,0.123983,17.950315,62.354027,0.842713,-0.308192,0.441421
995,17.509520,-82.530060,-0.945573,-0.300864,0.123983,17.950315,62.354027,0.842713,-0.308192,0.441421
999,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1003,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1088,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1100,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1120,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1157,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1250,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1266,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1291,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1311,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1327,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1333,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1422,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1436,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1472,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1492,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1504,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1511,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1527,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1605,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1631,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1654,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1671,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1682,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1701,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1704,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1707,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1709,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1713,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1717,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1721,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1730,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1733,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1739,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1742,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1745,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1755,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1760,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1763,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1767,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1772,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1781,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1783,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1788,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1793,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
1797,21.103861,-80.506607,-0.920152,-0.360060,0.153872,17.950315,62.354027,0.842713,-0.308192,0.441421
