Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
1faa,1f4a,1ee1,-2.15,2.65,7.9
1faa,1f4a,1ee1,-2.15,2.65,7.9
1fbc,1f48,1ed6,-3.05,2.75,8.45
1ff3,1f41,1ef9,-5.8,3.1,6.7
1ff3,1f41,1ef9,-5.8,3.1,6.7
2037,1f3c,1f13,-9.2,3.35,5.4
2037,1f3c,1f13,-9.2,3.35,5.4
204c,1f44,1eec,-10.25,2.95,7.35
205f,1f40,1ee2,-11.2,3.15,7.85
2088,1f43,1.00E+97,-13.25,3,11.6
20ad,1f36,1f4a,-15.1,3.65,2.65
2155,1f4b,1f03,-23.5,2.6,6.2
2155,1f4b,1f03,-23.5,2.6,6.2
21db,1f37,1ed1,-30.2,3.6,8.7
2.10E+08,1f3b,1ed6,-30.8,3.4,8.45
21b6,1f47,1.00E+62,-28.35,2.8,14.25
2185,1f3a,1f30,-25.9,3.45,3.95
2167,1f49,1f50,-24.4,2.7,2.35
212e,1f52,1eaa,-21.55,2.25,10.65
2055,1f42,1ed8,-10.7,3.05,8.35
2055,1f42,1ed8,-10.7,3.05,8.35
202c,1f42,1f3f,-8.65,3.05,3.2
202f,1f4b,1f78,-8.8,2.6,0.35
2013,1f42,1f4a,-7.4,3.05,2.65
2041,1f45,2039,-9.7,2.9,-9.3
20ae,1f3d,2056,-15.15,3.3,-10.75
20fc,1f43,200a,-19.05,3,-6.95
2173,1f41,20b9,-25,3.1,-15.7
22ab,1f3a,1fa4,-40.6,3.45,-1.85
22ab,1f3a,1fa4,-40.6,3.45,-1.85
22f0,1f3c,1eef,-44.05,3.35,7.2
22ed,1f33,1f00,-43.9,3.8,6.35
22a8,1f39,1f30,-40.45,3.5,3.95
22a8,1f39,1f30,-40.45,3.5,3.95
2272,1f49,1f6f,-37.75,2.7,0.8
2291,1f32,1eba,-39.3,3.85,9.85
21de,1f37,1f67,-30.35,3.6,1.2
21de,1f37,1f67,-30.35,3.6,1.2
21a2,1f3d,1f82,-27.35,3.3,-0.15
2157,1f3d,1eec,-23.6,3.3,7.35
20b2,1f3e,1.00E+63,-15.35,3.25,14.2
20b2,1f3e,1.00E+63,-15.35,3.25,14.2
2072,1f38,1e6d,-12.15,3.55,13.7
2025,1f48,1.00E+46,-8.3,2.75,15.65
1fde,1f42,1e9f,-4.75,3.05,11.2
1fc6,1f38,2094,-3.55,3.55,-13.85
1fc6,1f38,2094,-3.55,3.55,-13.85
1ff7,1f3f,210f,-6,3.2,-20
2027,1f3f,210c,-8.4,3.2,-19.85
208d,1f44,1ff6,-13.5,2.95,-5.95
208d,1f44,1ff6,-13.5,2.95,-5.95
20c4,1f46,1f6f,-16.25,2.85,0.8
20d6,1f4a,1f08,-17.15,2.65,5.95
2.00E+08,1f3f,1f14,-18,3.2,5.35
20b4,1f41,1f24,-15.45,3.1,4.55
20b4,1f41,1f24,-15.45,3.1,4.55
20a4,1f49,1f54,-14.65,2.7,2.15
20fe,1f40,1f41,-19.15,3.15,3.1
2145,1f42,1f2d,-22.7,3.05,4.1
2145,1f42,1f2d,-22.7,3.05,4.1
21a9,1f39,1f0b,-27.7,3.5,5.8
23dd,1f37,1f0a,-55.9,3.6,5.85
25c4,1f2e,1ed9,-80.25,4.05,8.3
25d0,1f0a,1ea4,-80.85,5.85,10.95
2531,1f3d,1f4e,-72.9,3.3,2.45
2531,1f3d,1f4e,-72.9,3.3,2.45
240f,1f3d,1fd8,-58.4,3.3,-4.45
240f,1f3d,1fd8,-58.4,3.3,-4.45
2324,1f37,2019,-46.65,3.6,-7.7
2324,1f37,2019,-46.65,3.6,-7.7
226e,1f48,1fa0,-37.55,2.75,-1.65
2.10E+09,1f3e,1fcb,-30.85,3.25,-3.8
21bf,1f40,1ff6,-28.8,3.15,-5.95
218a,1f42,1fc6,-26.15,3.05,-3.55
2188,1f3d,1fae,-26.05,3.3,-2.35
2148,1f45,1fac,-22.85,2.9,-2.25
