Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
1ffb,21ca,1f1f,-6.2,-29.35,4.8
202f,21dc,1f55,-8.8,-30.25,2.1
2050,2.10E+05,1f26,-10.45,-30.65,4.45
2063,2207,1f34,-11.4,-32.4,3.75
2070,21dd,1f59,-12.05,-30.3,1.9
2074,21ec,1f71,-12.25,-31.05,0.7
2070,21df,1f65,-12.05,-30.4,1.3
205c,21bd,1f65,-11.05,-28.7,1.3
2052,2176,1f72,-10.55,-25.15,0.65
2064,2170,1f77,-11.45,-24.85,0.4
2071,2162,1f8b,-12.1,-24.15,-0.6
206f,2173,1f92,-12,-25,-0.95
2062,2158,1f2b,-11.35,-23.65,4.2
204e,217b,1edb,-10.35,-25.4,8.2
204e,217b,1edb,-10.35,-25.4,8.2
2046,21a6,1f61,-9.95,-27.55,1.5
2046,21a6,1f61,-9.95,-27.55,1.5
2030,214f,1f23,-8.85,-23.2,4.6
2030,214f,1f23,-8.85,-23.2,4.6
2052,2139,1f3e,-10.55,-22.1,3.25
2052,2139,1f3e,-10.55,-22.1,3.25
205b,215d,1ef4,-11,-23.9,6.95
206d,2179,1f18,-11.9,-25.3,5.15
2067,2182,1ef3,-11.6,-25.75,7
2063,2183,1ee2,-11.4,-25.8,7.85
2046,2184,1edd,-9.95,-25.85,8.1
202d,21a3,1ed1,-8.7,-27.4,8.7
2020,21d3,1ec4,-8.05,-29.8,9.35
2024,221a,1eab,-8.25,-33.35,10.6
2020,2249,1e9d,-8.05,-35.7,11.3
1ff8,2278,1.00E+66,-6.05,-38.05,14.05
1ff8,2278,1.00E+66,-6.05,-38.05,14.05
1fda,2275,1.00E+76,-4.55,-37.9,13.25
1fd6,227e,1.00E+92,-4.35,-38.35,11.85
200b,22aa,1e8c,-7,-40.55,12.15
2046,22d3,1e9d,-9.95,-42.6,11.3
2092,2304,1e5b,-13.75,-45.05,14.6
20bf,234d,1e3b,-16,-48.7,16.2
20ed,2373,1.00E+47,-18.3,-50.6,15.6
210c,23a5,1.00E+51,-19.85,-53.1,15.1
2113,23c3,1.00E+92,-20.2,-54.6,11.85
2105,23db,1ece,-19.5,-55.8,8.85
20d4,2.30E+07,1eec,-17.05,-56.35,7.35
20b3,23ea,1f0a,-15.4,-56.55,5.85
208c,23d9,1f16,-13.45,-55.7,5.25
208a,23a4,1f04,-13.35,-53.05,6.15
205c,2342,1efe,-11.05,-48.15,6.45
2041,22d6,1f3f,-9.7,-42.75,3.2
2000,2254,1f39,-6.45,-36.25,3.5
1fc9,220a,1f36,-3.7,-32.55,3.65
1f96,2.10E+09,1f59,-1.15,-30.85,1.9
1f51,2.10E+01,1f96,2.3,-30.45,-1.15
1ee6,2230,1fe2,7.65,-34.45,-4.95
1ee6,2230,1fe2,7.65,-34.45,-4.95
1f02,228a,2012,6.25,-38.95,-7.35
1f02,228a,2012,6.25,-38.95,-7.35
1f3e,229d,2019,3.25,-39.9,-7.7
1f89,229e,201d,-0.5,-39.95,-7.9
1fca,2299,2016,-3.75,-39.7,-7.55
1fda,2226,1fd1,-4.55,-33.95,-4.1
1fda,2226,1fd1,-4.55,-33.95,-4.1
1fbf,21f7,1fb2,-3.2,-31.6,-2.55
1fa8,21be,1f9a,-2.05,-28.75,-1.35
1faa,21a9,1f96,-2.15,-27.7,-1.15
1faa,21a9,1f96,-2.15,-27.7,-1.15
1fe7,219a,1f67,-5.2,-26.95,1.2
1fe7,219a,1f67,-5.2,-26.95,1.2
200e,2191,1f55,-7.15,-26.5,2.1
2017,216f,1f9d,-7.6,-24.8,-1.5
2007,2132,1f4e,-6.8,-21.75,2.45
1fc6,2118,1f6f,-3.55,-20.45,0.8
1fc6,2118,1f6f,-3.55,-20.45,0.8
1fc9,2106,1f44,-3.7,-19.55,2.95
1fd0,20f9,1f28,-4.05,-18.9,4.35
1fe1,210b,1efc,-4.9,-19.8,6.55
1fe1,210b,1efc,-4.9,-19.8,6.55
